Year,MonthNumber,RegionID,TargetSales
2025,1,1,90000.0
2025,1,2,82000.0
2025,1,3,95000.0
2025,1,4,88000.0
2025,2,1,92700.0
2025,2,2,84460.0
2025,2,3,97850.0
2025,2,4,90640.0
2025,3,1,95400.0
2025,3,2,86920.0
2025,3,3,100700.0
2025,3,4,93280.0
2025,4,1,91800.0
2025,4,2,83640.0
2025,4,3,96900.0
2025,4,4,89760.0
2025,5,1,94500.0
2025,5,2,86100.0
2025,5,3,99750.0
2025,5,4,92400.0
2025,6,1,97200.0
2025,6,2,88560.0
2025,6,3,102600.0
2025,6,4,95040.0
2025,7,1,99000.0
2025,7,2,90200.0
2025,7,3,104500.0
2025,7,4,96800.0
2025,8,1,96300.0
2025,8,2,87740.0
2025,8,3,101650.0
2025,8,4,94160.0
2025,9,1,93600.0
2025,9,2,85280.0
2025,9,3,98800.0
2025,9,4,91520.0
2025,10,1,91800.0
2025,10,2,83640.0
2025,10,3,96900.0
2025,10,4,89760.0
2025,11,1,95400.0
2025,11,2,86920.0
2025,11,3,100700.0
2025,11,4,93280.0
2025,12,1,100800.0
2025,12,2,91840.0
2025,12,3,106400.0
2025,12,4,98560.0
